concept_trial,version,conceptno,concept,sequence_filepath
1,D,f17,eper,sequences/f17/f17_listD.csv
2,A,t24,seprű,sequences/t24/t24_listA.csv
3,B,pl24,bab,sequences/pl24/pl24_listB.csv
4,C,c10,nadrág,sequences/c10/c10_listC.csv
5,D,ty12,kard,sequences/ty12/ty12_listD.csv
6,C,v13,autó,sequences/v13/v13_listC.csv
7,E,a05,kacsa,sequences/a05/a05_listE.csv
8,A,p35,hercegnő,sequences/p35/p35_listA.csv
9,E,b02,szem,sequences/b02/b02_listE.csv
10,B,f12,alma,sequences/f12/f12_listB.csv
11,A,c28,pulóver,sequences/c28/c28_listA.csv
12,E,b11,láb,sequences/b11/b11_listE.csv
13,D,p13,gyerek,sequences/p13/p13_listD.csv
14,C,pl11,gomba,sequences/pl11/pl11_listC.csv
15,A,t17,asztal,sequences/t17/t17_listA.csv
16,B,l23,erdő,sequences/l23/l23_listB.csv
17,D,v03,helikopter,sequences/v03/v03_listD.csv
18,E,ty07,ceruza,sequences/ty07/ty07_listE.csv
19,B,l02,játszótér,sequences/l02/l02_listB.csv
