concept_trial,version,conceptno,concept,sequence_filepath
1,D,b10,kéz,sequences/b10/b10_listD.csv
2,C,t20,szőnyeg,sequences/t20/t20_listC.csv
3,A,ty10,könyv,sequences/ty10/ty10_listA.csv
4,C,v03,helikopter,sequences/v03/v03_listC.csv
5,D,c10,nadrág,sequences/c10/c10_listD.csv
6,B,p13,gyerek,sequences/p13/p13_listB.csv
7,E,f12,alma,sequences/f12/f12_listE.csv
8,B,a16,kutya,sequences/a16/a16_listB.csv
9,C,l12,nappali,sequences/l12/l12_listC.csv
10,E,pl11,gomba,sequences/pl11/pl11_listE.csv
11,B,ty07,ceruza,sequences/ty07/ty07_listB.csv
12,E,v04,vonat,sequences/v04/v04_listE.csv
13,D,l02,játszótér,sequences/l02/l02_listD.csv
14,C,p20,tűzoltó,sequences/p20/p20_listC.csv
15,A,a05,kacsa,sequences/a05/a05_listA.csv
16,B,pl22,krumpli,sequences/pl22/pl22_listB.csv
17,D,t17,asztal,sequences/t17/t17_listD.csv
18,A,b02,szem,sequences/b02/b02_listA.csv
19,E,c13,cipő,sequences/c13/c13_listE.csv
