concept_trial,version,conceptno,concept,sequence_filepath
1,E,l02,játszótér,sequences/l02/l02_listE.csv
2,B,b11,láb,sequences/b11/b11_listB.csv
3,D,v13,autó,sequences/v13/v13_listD.csv
4,B,a05,kacsa,sequences/a05/a05_listB.csv
5,E,pl11,gomba,sequences/pl11/pl11_listE.csv
6,C,b02,szem,sequences/b02/b02_listC.csv
7,A,c28,pulóver,sequences/c28/c28_listA.csv
8,C,t17,asztal,sequences/t17/t17_listC.csv
9,A,p13,gyerek,sequences/p13/p13_listA.csv
10,C,l23,erdő,sequences/l23/l23_listC.csv
11,A,a19,ló,sequences/a19/a19_listA.csv
12,D,c10,nadrág,sequences/c10/c10_listD.csv
13,E,t24,seprű,sequences/t24/t24_listE.csv
14,D,f12,alma,sequences/f12/f12_listD.csv
15,E,p35,hercegnő,sequences/p35/p35_listE.csv
16,B,f17,eper,sequences/f17/f17_listB.csv
17,C,ty12,kard,sequences/ty12/ty12_listC.csv
18,A,v03,helikopter,sequences/v03/v03_listA.csv
19,D,ty07,ceruza,sequences/ty07/ty07_listD.csv
