concept_trial,version,conceptno,concept,sequence_filepath
1,D,l02,játszótér,sequences/l02/l02_listD.csv
2,A,a05,kacsa,sequences/a05/a05_listA.csv
3,C,ty07,ceruza,sequences/ty07/ty07_listC.csv
4,D,c28,pulóver,sequences/c28/c28_listD.csv
5,B,p35,hercegnő,sequences/p35/p35_listB.csv
6,C,pl24,bab,sequences/pl24/pl24_listC.csv
7,A,v13,autó,sequences/v13/v13_listA.csv
8,B,c10,nadrág,sequences/c10/c10_listB.csv
9,A,f12,alma,sequences/f12/f12_listA.csv
10,E,ty12,kard,sequences/ty12/ty12_listE.csv
11,B,a19,ló,sequences/a19/a19_listB.csv
12,E,f17,eper,sequences/f17/f17_listE.csv
13,D,v03,helikopter,sequences/v03/v03_listD.csv
14,C,p13,gyerek,sequences/p13/p13_listC.csv
15,D,pl11,gomba,sequences/pl11/pl11_listD.csv
16,B,t17,asztal,sequences/t17/t17_listB.csv
17,C,b11,láb,sequences/b11/b11_listC.csv
18,E,t24,seprű,sequences/t24/t24_listE.csv
19,A,l23,erdő,sequences/l23/l23_listA.csv
