concept_trial,version,conceptno,concept,sequence_filepath
1,D,ty10,könyv,sequences/ty10/ty10_listD.csv
2,B,p35,hercegnő,sequences/p35/p35_listB.csv
3,C,c13,cipő,sequences/c13/c13_listC.csv
4,E,a19,ló,sequences/a19/a19_listE.csv
5,A,ty12,kard,sequences/ty12/ty12_listA.csv
6,E,p20,tűzoltó,sequences/p20/p20_listE.csv
7,C,t20,szőnyeg,sequences/t20/t20_listC.csv
8,B,a16,kutya,sequences/a16/a16_listB.csv
9,A,b10,kéz,sequences/b10/b10_listA.csv
10,D,v04,vonat,sequences/v04/v04_listD.csv
11,C,l12,nappali,sequences/l12/l12_listC.csv
12,A,pl22,krumpli,sequences/pl22/pl22_listA.csv
13,D,t24,seprű,sequences/t24/t24_listD.csv
14,B,f17,eper,sequences/f17/f17_listB.csv
15,C,pl24,bab,sequences/pl24/pl24_listC.csv
16,B,b11,láb,sequences/b11/b11_listB.csv
17,A,v13,autó,sequences/v13/v13_listA.csv
18,E,f15,citrom,sequences/f15/f15_listE.csv
19,D,l23,erdő,sequences/l23/l23_listD.csv
