concept_trial,version,conceptno,concept,sequence_filepath
1,C,f12,alma,sequences/f12/f12_listC.csv
2,D,ty07,ceruza,sequences/ty07/ty07_listD.csv
3,C,v03,helikopter,sequences/v03/v03_listC.csv
4,D,a16,kutya,sequences/a16/a16_listD.csv
5,A,l02,játszótér,sequences/l02/l02_listA.csv
6,D,p13,gyerek,sequences/p13/p13_listD.csv
7,E,a05,kacsa,sequences/a05/a05_listE.csv
8,B,t17,asztal,sequences/t17/t17_listB.csv
9,C,f15,citrom,sequences/f15/f15_listC.csv
10,A,b02,szem,sequences/b02/b02_listA.csv
11,B,c13,cipő,sequences/c13/c13_listB.csv
12,C,pl22,krumpli,sequences/pl22/pl22_listC.csv
13,A,l12,nappali,sequences/l12/l12_listA.csv
14,E,ty10,könyv,sequences/ty10/ty10_listE.csv
15,B,b10,kéz,sequences/b10/b10_listB.csv
16,E,c10,nadrág,sequences/c10/c10_listE.csv
17,D,t20,szőnyeg,sequences/t20/t20_listD.csv
18,B,p20,tűzoltó,sequences/p20/p20_listB.csv
19,A,pl11,gomba,sequences/pl11/pl11_listA.csv
