concept_trial,version,conceptno,concept,sequence_filepath
1,E,v13,autó,sequences/v13/v13_listE.csv
2,D,l02,játszótér,sequences/l02/l02_listD.csv
3,E,b11,láb,sequences/b11/b11_listE.csv
4,C,a19,ló,sequences/a19/a19_listC.csv
5,B,t24,seprű,sequences/t24/t24_listB.csv
6,C,pl11,gomba,sequences/pl11/pl11_listC.csv
7,D,ty12,kard,sequences/ty12/ty12_listD.csv
8,E,pl24,bab,sequences/pl24/pl24_listE.csv
9,A,t17,asztal,sequences/t17/t17_listA.csv
10,B,c10,nadrág,sequences/c10/c10_listB.csv
11,E,p13,gyerek,sequences/p13/p13_listE.csv
12,C,f12,alma,sequences/f12/f12_listC.csv
13,A,v03,helikopter,sequences/v03/v03_listA.csv
14,B,c28,pulóver,sequences/c28/c28_listB.csv
15,A,a05,kacsa,sequences/a05/a05_listA.csv
16,D,ty07,ceruza,sequences/ty07/ty07_listD.csv
17,C,p35,hercegnő,sequences/p35/p35_listC.csv
18,D,l23,erdő,sequences/l23/l23_listD.csv
19,B,b02,szem,sequences/b02/b02_listB.csv
