concept_trial,version,conceptno,concept,sequence_filepath
1,E,p13,gyerek,sequences/p13/p13_listE.csv
2,C,b02,szem,sequences/b02/b02_listC.csv
3,A,a05,kacsa,sequences/a05/a05_listA.csv
4,D,pl11,gomba,sequences/pl11/pl11_listD.csv
5,E,v03,helikopter,sequences/v03/v03_listE.csv
6,B,l12,nappali,sequences/l12/l12_listB.csv
7,A,f15,citrom,sequences/f15/f15_listA.csv
8,D,p20,tűzoltó,sequences/p20/p20_listD.csv
9,C,c10,nadrág,sequences/c10/c10_listC.csv
10,B,l02,játszótér,sequences/l02/l02_listB.csv
11,A,f12,alma,sequences/f12/f12_listA.csv
12,C,pl22,krumpli,sequences/pl22/pl22_listC.csv
13,E,v04,vonat,sequences/v04/v04_listE.csv
14,B,c13,cipő,sequences/c13/c13_listB.csv
15,D,t17,asztal,sequences/t17/t17_listD.csv
16,E,a16,kutya,sequences/a16/a16_listE.csv
17,B,b10,kéz,sequences/b10/b10_listB.csv
18,C,t20,szőnyeg,sequences/t20/t20_listC.csv
19,D,ty07,ceruza,sequences/ty07/ty07_listD.csv
