concept_trial,version,conceptno,concept,sequence_filepath
1,E,l12,nappali,sequences/l12/l12_listE.csv
2,B,c13,cipő,sequences/c13/c13_listB.csv
3,A,b11,láb,sequences/b11/b11_listA.csv
4,D,t24,seprű,sequences/t24/t24_listD.csv
5,E,ty10,könyv,sequences/ty10/ty10_listE.csv
6,A,c28,pulóver,sequences/c28/c28_listA.csv
7,E,ty12,kard,sequences/ty12/ty12_listE.csv
8,B,v13,autó,sequences/v13/v13_listB.csv
9,D,t20,szőnyeg,sequences/t20/t20_listD.csv
10,E,p35,hercegnő,sequences/p35/p35_listE.csv
11,A,pl24,bab,sequences/pl24/pl24_listA.csv
12,C,v04,vonat,sequences/v04/v04_listC.csv
13,B,a16,kutya,sequences/a16/a16_listB.csv
14,C,f15,citrom,sequences/f15/f15_listC.csv
15,A,l23,erdő,sequences/l23/l23_listA.csv
16,C,b10,kéz,sequences/b10/b10_listC.csv
17,B,p20,tűzoltó,sequences/p20/p20_listB.csv
18,D,a19,ló,sequences/a19/a19_listD.csv
19,C,f17,eper,sequences/f17/f17_listC.csv
