concept_trial,version,conceptno,concept,sequence_filepath
1,B,ty12,kard,sequences/ty12/ty12_listB.csv
2,C,a16,kutya,sequences/a16/a16_listC.csv
3,D,f15,citrom,sequences/f15/f15_listD.csv
4,C,p20,tűzoltó,sequences/p20/p20_listC.csv
5,B,c13,cipő,sequences/c13/c13_listB.csv
6,A,pl24,bab,sequences/pl24/pl24_listA.csv
7,E,t24,seprű,sequences/t24/t24_listE.csv
8,B,l12,nappali,sequences/l12/l12_listB.csv
9,C,pl22,krumpli,sequences/pl22/pl22_listC.csv
10,E,f17,eper,sequences/f17/f17_listE.csv
11,A,t20,szőnyeg,sequences/t20/t20_listA.csv
12,E,ty10,könyv,sequences/ty10/ty10_listE.csv
13,B,v13,autó,sequences/v13/v13_listB.csv
14,D,a19,ló,sequences/a19/a19_listD.csv
15,A,b11,láb,sequences/b11/b11_listA.csv
16,D,v04,vonat,sequences/v04/v04_listD.csv
17,A,c28,pulóver,sequences/c28/c28_listA.csv
18,C,l23,erdő,sequences/l23/l23_listC.csv
19,D,b10,kéz,sequences/b10/b10_listD.csv
