concept_trial,version,conceptno,concept,sequence_filepath
1,C,v04,vonat,sequences/v04/v04_listC.csv
2,D,c13,cipő,sequences/c13/c13_listD.csv
3,A,f15,citrom,sequences/f15/f15_listA.csv
4,E,p20,tűzoltó,sequences/p20/p20_listE.csv
5,C,t20,szőnyeg,sequences/t20/t20_listC.csv
6,E,v13,autó,sequences/v13/v13_listE.csv
7,C,b10,kéz,sequences/b10/b10_listC.csv
8,B,pl24,bab,sequences/pl24/pl24_listB.csv
9,E,ty12,kard,sequences/ty12/ty12_listE.csv
10,D,c28,pulóver,sequences/c28/c28_listD.csv
11,A,t24,seprű,sequences/t24/t24_listA.csv
12,C,a19,ló,sequences/a19/a19_listC.csv
13,B,l23,erdő,sequences/l23/l23_listB.csv
14,A,a16,kutya,sequences/a16/a16_listA.csv
15,D,l12,nappali,sequences/l12/l12_listD.csv
16,B,p35,hercegnő,sequences/p35/p35_listB.csv
17,D,f17,eper,sequences/f17/f17_listD.csv
18,B,b11,láb,sequences/b11/b11_listB.csv
19,E,pl22,krumpli,sequences/pl22/pl22_listE.csv
