concept_trial,version,conceptno,concept,sequence_filepath
1,E,f12,alma,sequences/f12/f12_listE.csv
2,C,c10,nadrág,sequences/c10/c10_listC.csv
3,E,p20,tűzoltó,sequences/p20/p20_listE.csv
4,D,t20,szőnyeg,sequences/t20/t20_listD.csv
5,C,b02,szem,sequences/b02/b02_listC.csv
6,B,l12,nappali,sequences/l12/l12_listB.csv
7,A,a16,kutya,sequences/a16/a16_listA.csv
8,E,pl11,gomba,sequences/pl11/pl11_listE.csv
9,D,v03,helikopter,sequences/v03/v03_listD.csv
10,B,pl22,krumpli,sequences/pl22/pl22_listB.csv
11,A,f15,citrom,sequences/f15/f15_listA.csv
12,D,p13,gyerek,sequences/p13/p13_listD.csv
13,C,l02,játszótér,sequences/l02/l02_listC.csv
14,B,b10,kéz,sequences/b10/b10_listB.csv
15,A,a05,kacsa,sequences/a05/a05_listA.csv
16,E,ty10,könyv,sequences/ty10/ty10_listE.csv
17,A,c13,cipő,sequences/c13/c13_listA.csv
18,D,ty07,ceruza,sequences/ty07/ty07_listD.csv
19,B,v04,vonat,sequences/v04/v04_listB.csv
