concept_trial,version,conceptno,concept,sequence_filepath
1,A,b02,szem,sequences/b02/b02_listA.csv
2,E,l12,nappali,sequences/l12/l12_listE.csv
3,A,pl11,gomba,sequences/pl11/pl11_listA.csv
4,C,v03,helikopter,sequences/v03/v03_listC.csv
5,B,c13,cipő,sequences/c13/c13_listB.csv
6,D,p13,gyerek,sequences/p13/p13_listD.csv
7,A,ty07,ceruza,sequences/ty07/ty07_listA.csv
8,C,c10,nadrág,sequences/c10/c10_listC.csv
9,B,a16,kutya,sequences/a16/a16_listB.csv
10,D,p20,tűzoltó,sequences/p20/p20_listD.csv
11,B,a05,kacsa,sequences/a05/a05_listB.csv
12,C,b10,kéz,sequences/b10/b10_listC.csv
13,A,t20,szőnyeg,sequences/t20/t20_listA.csv
14,E,f12,alma,sequences/f12/f12_listE.csv
15,D,pl22,krumpli,sequences/pl22/pl22_listD.csv
16,C,l02,játszótér,sequences/l02/l02_listC.csv
17,E,t17,asztal,sequences/t17/t17_listE.csv
18,D,f15,citrom,sequences/f15/f15_listD.csv
19,B,v04,vonat,sequences/v04/v04_listB.csv
