concept_trial,version,conceptno,concept,sequence_filepath
0,A,v04,vonat,sequences/v04/v04_listA.csv
1,C,b11,láb,sequences/b11/b11_listC.csv
2,B,a19,ló,sequences/a19/a19_listB.csv
3,E,f17,eper,sequences/f17/f17_listE.csv
4,A,l23,erdő,sequences/l23/l23_listA.csv
5,D,c28,pulóver,sequences/c28/c28_listD.csv
6,E,ty12,kard,sequences/ty12/ty12_listE.csv
7,B,p35,hercegnő,sequences/p35/p35_listB.csv
8,C,pl24,bab,sequences/pl24/pl24_listC.csv
9,D,t24,seprű,sequences/t24/t24_listD.csv
10,A,v13,autó,sequences/v13/v13_listA.csv
