concept_trial,version,conceptno,concept,sequence_filepath
0,C,ty10,könyv,sequences/ty10/ty10_listC.csv
1,B,l02,játszótér,sequences/l02/l02_listB.csv
2,C,a05,kacsa,sequences/a05/a05_listC.csv
3,A,f12,alma,sequences/f12/f12_listA.csv
4,D,pl11,gomba,sequences/pl11/pl11_listD.csv
5,E,t17,asztal,sequences/t17/t17_listE.csv
6,B,v03,helikopter,sequences/v03/v03_listB.csv
7,C,p13,gyerek,sequences/p13/p13_listC.csv
8,E,c10,nadrág,sequences/c10/c10_listE.csv
9,D,b02,szem,sequences/b02/b02_listD.csv
10,A,ty07,ceruza,sequences/ty07/ty07_listA.csv
